Metric,Value
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.0485012044254822
clock__skew__worst_setup__corner:max_tt_025C_1v80,-2.0485012044254822
timing__hold__ws__corner:max_tt_025C_1v80,0.4223699842759109
timing__setup__ws__corner:max_tt_025C_1v80,12.713210399814637
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.422370
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,12.713210
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,10965
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,6089
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.6561881224118618
clock__skew__worst_setup__corner:max_ss_100C_1v60,-3.6561881224118618
timing__hold__ws__corner:max_ss_100C_1v60,0.8184132492243149
timing__setup__ws__corner:max_ss_100C_1v60,0.9465211105028323
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.818413
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.946521
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,3229
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,17
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.380965492157995
clock__skew__worst_setup__corner:max_ff_n40C_1v95,-1.380965492157995
timing__hold__ws__corner:max_ff_n40C_1v95,0.25903185884979335
timing__setup__ws__corner:max_ff_n40C_1v95,16.694484489573284
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.259032
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,16.694485
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,10965
design__max_fanout_violation__count,0
design__max_cap_violation__count,6089
clock__skew__worst_hold,-1.2507760736717375
clock__skew__worst_setup,-3.6561881224118618
timing__hold__ws,0.25903185884979335
timing__setup__ws,0.9465211105028323
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.259032
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.946521
timing__setup_r2r_vio__count,0
